product_id;product_name;product_category;brand;package_quantity;package_unit;price;currency
P001;lapte zuzu;lactate;Zuzu;1.0;l;9.9;RON
P002;iaurt grecesc;lactate;Lidl;0.4;kg;11.5;RON
P005;ouă mărimea M;ouă;Lidl;10.0;buc;13.2;RON
P008;brânză telemea;lactate;Pilos;0.3;kg;12.8;RON
P014;roșii cherry;legume și fructe;Lidl;0.25;kg;6.9;RON
P017;piept pui;carne;Lidl;1.0;kg;28.9;RON
P020;spaghetti nr.5;paste făinoase;Barilla;0.5;kg;5.9;RON
P024;apă plată;băuturi;Aqua Carpatica;2.0;l;5.1;RON
P028;ulei floarea-soarelui;alimente de bază;Bunica;1.0;l;9.3;RON
P031;biscuiți cu unt;gustări;Deluxe;0.2;kg;7.0;RON
P034;cafea măcinată;cafea;Davidoff;0.25;kg;22.5;RON
P037;detergent lichid;produse de menaj;Persil;2.5;l;49.5;RON
P040;șampon păr gras;îngrijire personală;Head & Shoulders;0.4;l;17.9;RON
P043;hârtie igienică 3 straturi;produse de menaj;Zewa;10.0;buc;18.8;RON
P046;piper negru măcinat;condimente;Kotanyi;0.05;kg;6.05;RON
P049;vin alb demisec;băuturi;Jidvei;0.75;l;23.3;RON
P052;ciocolată neagră 70%;gustări;Fin Carre;0.1;kg;3.9;RON
