product_id;product_name;product_category;brand;package_quantity;package_unit;price;currency
P001;lapte zuzu;lactate;Zuzu;1.0;l;10.4;RON
P002;iaurt grecesc;lactate;Lidl;0.4;kg;12.08;RON
P005;ouă mărimea M;ouă;Lidl;10.0;buc;13.86;RON
P008;brânză telemea;lactate;Pilos;0.3;kg;13.44;RON
P014;roșii cherry;legume și fructe;Lidl;0.25;kg;7.25;RON
P017;piept pui;carne;Lidl;1.0;kg;30.34;RON
P020;spaghetti nr.5;paste făinoase;Barilla;0.5;kg;6.2;RON
P024;apă plată;băuturi;Aqua Carpatica;2.0;l;5.35;RON
P028;ulei floarea-soarelui;alimente de bază;Bunica;1.0;l;9.77;RON
P031;biscuiți cu unt;gustări;Deluxe;0.2;kg;7.35;RON
P034;cafea măcinată;cafea;Davidoff;0.25;kg;23.62;RON
P037;detergent lichid;produse de menaj;Persil;2.5;l;51.98;RON
P040;șampon păr gras;îngrijire personală;Head & Shoulders;0.4;l;18.79;RON
P043;hârtie igienică 3 straturi;produse de menaj;Zewa;10.0;buc;19.74;RON
P046;piper negru măcinat;condimente;Kotanyi;0.05;kg;6.35;RON
P049;vin alb demisec;băuturi;Jidvei;0.75;l;24.47;RON
P052;ciocolată neagră 70%;gustări;Fin Carre;0.1;kg;4.09;RON
